POP,Fan 1,Fan 2,Fan 3,Fan 4
HGGP012,58,58,57,0
HUEP137,0,0,0,0
HUEP131,50,50,49,0
HUEP117,49,49,49,0
HUEP006,47,47,47,0
HUEP110,0,0,0,0
HUEP121,0,0,0,0
HUEP105,50,48,48,0
HGGP014,50,50,50,0
GLIP026,48,49,48,0
GLIP032,49,49,48,0
HUEP139,47,47,56,0
HUEP126,0,0,0,0
HGGP010,49,49,49,0
HUEP090,49,49,49,0
HGGP008,49,49,48,0
HUEP027,0,0,0,0
LDGP045,0,0,0,0
LDGP002,0,0,0,0
LDGP034,0,0,0,0
KTMP007,57,55,56,0
KGGP023,73,73,49,0
KGGP015,49,48,48,0
LDGP053,0,0,0,0
LANP036,56,55,52,0
LANP023,46,46,46,0
LANP012,44,50,49,0
LDGP061,0,0,0,0
KGGP010,49,48,48,0
KGGP011,48,48,48,0
KTMP020,50,50,50,0
LANP039,48,47,47,0
LANP022,48,47,57,0
KGGP016,48,48,48,0
KTMP006,48,47,47,0
KGGP007,48,49,48,0
LDGP064,0,0,0,0
LANP021,46,65,47,0
LANP024,48,48,45,0
LDGP048,0,0,0,0
LDGP046,0,0,0,0
LDGP057,0,0,0,0
KGGP017,76,77,48,0
KGGP009,49,48,49,0
KGGP032,48,48,49,0
LDGP033,0,0,0,0
HUEP111,49,50,50,0
LDGP052,46,44,46,0
KGGP019,49,48,48,0
KGGP006,80,48,48,0
LDGP032,0,0,0,0
KTMP019,49,56,48,0
LDGP031,0,0,0,0
KGGP008,48,48,48,0
KTMP008,48,49,49,0
LANP010,48,50,51,0
LDGP039,0,0,0,0
LDGP038,0,0,0,0
LDGP030,0,0,0,0
LDGP037,0,0,0,0
LDGP001,0,0,0,0
LANP013,49,49,49,0
KGGP004,48,48,49,0
LANP034,50,50,50,0
LDGP054,0,0,0,0
LDGP047,0,0,0,0
LANP038,49,49,49,0
NTGP059,50,0,50,0
NTGP016,55,56,55,0
LDGP050,0,0,0,0
NTGP064,47,47,47,0
LDGP027,0,0,0,0
LDGP005,0,0,0,0
NTGP021,48,48,48,0
LDGP035,0,0,0,0
LDGP036,0,0,0,0
NTGP006,48,48,49,0
NTGP046,47,46,48,0
NTGP048,49,49,49,0
NTGP065,5,48,49,0
NTGP052,50,50,50,0
NTGP007,75,46,46,0
LDGP063,0,0,0,0
NTGP062,49,49,49,0
NTGP020,48,50,51,0
NTGP068,56,55,56,0
NTGP004,34,49,48,0
NTNP013,48,45,49,0
NTGP061,47,47,47,0
NTGP017,48,53,49,0
NTGP060,58,65,55,0
NTGP043,49,50,50,0
NTGP011,48,48,48,0
NTGP063,50,50,50,0
NTGP044,49,50,49,0
NTGP054,58,49,48,0
NTGP003,49,54,59,0
NTGP018,51,56,53,0
LDGP062,0,0,0,0
NTGP025,48,48,49,0
NTGP027,55,56,54,0
NTGP067,49,48,48,0
NTGP014,0,0,0,0
NTGP024,0,0,0,0
NTGP031,0,0,0,0
NTGP026,0,0,0,0
NTGP010,38,38,38,0
NTGP058,51,52,51,0
NTGP041,49,49,49,0
NTGP029,46,46,46,0
LDGP043,0,0,0,0
NTGP023,0,0,0,0
NTGP053,0,0,0,0
NTGP015,0,0,0,0
NTGP012,47,48,48,0
NTGP019,0,0,0,0
NTGP002,49,48,49,0
NTNP025,49,49,49,0
QNMP029,47,50,47,0
NTNP019,49,50,49,0
NTNP030,0,0,0,0
QNMP046,49,48,48,0
PYNP013,56,55,55,0
NTNP017,51,51,51,0
NTNP012,52,49,48,0
QNMP026,50,50,50,0
QTIP015,0,0,0,0
PYNP015,54,54,53,0
QTIP022,0,0,0,0
QNMP037,49,49,50,0
QBHP020,0,0,0,0
PYNP020,54,54,54,0
STGP031,49,48,48,0
QNMP045,49,6,49,0
NTNP010,0,0,0,0
QNMP032,50,50,50,0
QNIP017,0,0,0,0
QTIP020,50,49,51,0
STGP006,0,0,0,0
QBHP017,0,0,0,0
QBHP022,45,45,51,0
STGP030,0,0,0,0
PYNP023,47,47,48,0
PYNP014,0,0,0,0
QTIP019,51,50,51,0
PYNP019,48,50,48,0
QNMP050,48,49,48,0
PYNP016,56,55,55,0
QNMP024,50,50,50,0
NTNP026,0,0,0,0
QNIP022,0,0,0,0
QBHP018,48,48,48,48
QTIP021,0,0,0,0
NTNP022,50,50,51,0
QNMP041,0,0,0,0
QBHP016,48,48,48,0
QNIP028,0,0,0,0
QNIP009,50,51,50,0
QNIP019,50,50,51,0
QBHP021,46,46,46,0
QNIP011,0,0,0,0
QNIP018,48,47,48,0
QBHP023,0,0,0,0
QNIP023,0,0,0,0
NTNP021,50,50,50,0
QNMP065,0,0,0,0
NTNP024,49,50,50,0
STGP036,0,0,0,0
TNHP038,48,48,48,0
STGP039,59,56,70,0
TGGP030,57,59,57,0
STGP043,66,68,61,0
TNHP029,82,66,58,0
STGP046,42,42,42,0
TVHP008,50,48,50,0
TVHP007,50,48,50,0
